time,theta0,theta1,theta2
0.577000,3.488129,-2.518899,2.635449
0.578000,3.490516,-2.519479,2.636847
0.579000,3.492900,-2.520058,2.638242
0.580000,3.495282,-2.520634,2.639634
0.581000,3.497661,-2.521208,2.641024
0.582000,3.500037,-2.521780,2.642411
0.583000,3.502410,-2.522350,2.643795
0.584000,3.504781,-2.522917,2.645176
0.585000,3.507148,-2.523483,2.646555
0.586000,3.509513,-2.524046,2.647930
0.587000,3.511876,-2.524608,2.649303
0.588000,3.514235,-2.525167,2.650674
0.589000,3.516592,-2.525724,2.652041
0.590000,3.518946,-2.526279,2.653406
0.591000,3.521297,-2.526832,2.654768
0.592000,3.523646,-2.527383,2.656128
0.593000,3.525992,-2.527931,2.657484
0.594000,3.528335,-2.528478,2.658838
0.595000,3.530675,-2.529023,2.660190
0.596000,3.533012,-2.529565,2.661538
0.597000,3.535347,-2.530106,2.662884
0.598000,3.537679,-2.530644,2.664227
0.599000,3.540008,-2.531180,2.665568
0.600000,3.542334,-2.531715,2.666906
0.601000,3.544657,-2.532247,2.668241
0.602000,3.546978,-2.532777,2.669573
0.603000,3.549296,-2.533305,2.670903
0.604000,3.551611,-2.533831,2.672230
0.605000,3.553923,-2.534355,2.673555
0.606000,3.556233,-2.534877,2.674877
0.607000,3.558539,-2.535398,2.676196
0.608000,3.560843,-2.535916,2.677512
0.609000,3.563144,-2.536432,2.678826
0.610000,3.565443,-2.536946,2.680138
0.611000,3.567738,-2.537458,2.681446
0.612000,3.570031,-2.537968,2.682752
0.613000,3.572320,-2.538476,2.684056
0.614000,3.574607,-2.538982,2.685356
0.615000,3.576892,-2.539486,2.686655
0.616000,3.579173,-2.539988,2.687950
0.617000,3.581451,-2.540488,2.689243
0.618000,3.583727,-2.540986,2.690534
0.619000,3.586000,-2.541482,2.691821
0.620000,3.588270,-2.541977,2.693107
0.621000,3.590537,-2.542469,2.694389
0.622000,3.592802,-2.542959,2.695669
0.623000,3.595063,-2.543448,2.696947
0.624000,3.597322,-2.543934,2.698222
0.625000,3.599578,-2.544419,2.699494
0.626000,3.601831,-2.544901,2.700764
0.627000,3.604081,-2.545382,2.702031
0.628000,3.606328,-2.545861,2.703296
0.629000,3.608573,-2.546337,2.704558
0.630000,3.610814,-2.546812,2.705818
0.631000,3.613053,-2.547285,2.707075
0.632000,3.615289,-2.547757,2.708330
0.633000,3.617522,-2.548226,2.709582
0.634000,3.619752,-2.548693,2.710831
0.635000,3.621979,-2.549159,2.712079
0.636000,3.624204,-2.549622,2.713323
0.637000,3.626425,-2.550084,2.714565
0.638000,3.628644,-2.550544,2.715805
0.639000,3.630860,-2.551002,2.717042
0.640000,3.633073,-2.551458,2.718276
0.641000,3.635283,-2.551912,2.719509
0.642000,3.637490,-2.552365,2.720738
0.643000,3.639695,-2.552816,2.721965
0.644000,3.641896,-2.553264,2.723190
0.645000,3.644095,-2.553711,2.724412
0.646000,3.646291,-2.554156,2.725632
0.647000,3.648484,-2.554600,2.726849
0.648000,3.650674,-2.555041,2.728064
0.649000,3.652861,-2.555481,2.729277
0.650000,3.655045,-2.555919,2.730487
0.651000,3.657226,-2.556355,2.731694
0.652000,3.659405,-2.556789,2.732899
0.653000,3.661581,-2.557221,2.734102
0.654000,3.663753,-2.557652,2.735302
0.655000,3.665923,-2.558081,2.736500
0.656000,3.668090,-2.558508,2.737696
0.657000,3.670254,-2.558933,2.738889
0.658000,3.672415,-2.559357,2.740080
0.659000,3.674574,-2.559779,2.741268
0.660000,3.676729,-2.560199,2.742454
0.661000,3.678881,-2.560617,2.743637
0.662000,3.681031,-2.561034,2.744819
0.663000,3.683178,-2.561449,2.745997
