time,theta0,theta1,dtheta0,dtheta1,M00,M01,M10,M11,Cv0,Cv1,taug0,taug1,hplus0,hplus1,hminus0,hminus1,vdot_plus0,vdot_plus1,vdot_minus0,vdot_minus1
3.053000000,1.130785184,0.618709510,1.210989559,-2.387353664,4.292255197,2.144627599,2.144627599,1.330000000,0.047943366,0.850544599,-22.967135365,-9.653784480,-22.919191999,-8.803239881,23.015078731,10.504329080,10.459883106,-10.247604592,-7.286023239,3.850734920
3.054000000,1.131988888,0.616326007,1.203703536,-2.383502929,4.295015355,2.146007678,2.146007678,1.330000000,0.032934232,0.837524968,-22.976720865,-9.655834996,-22.943786633,-8.818310028,23.009655097,10.493359964,10.470506229,-10.264268218,-7.302487305,3.893108165
3.055000000,1.133185289,0.613946398,1.196401048,-2.379609821,4.297761757,2.147380878,2.147380878,1.330000000,0.018085127,0.824612040,-22.986233953,-9.657877939,-22.968148826,-8.833265899,23.004319080,10.482489979,10.481061731,-10.280876426,-7.318974654,3.935440783
3.056000000,1.134374371,0.611570723,1.189082074,-2.375674380,4.300494382,2.148747191,2.148747191,1.330000000,0.003396051,0.811805902,-22.995674704,-9.659913145,-22.992278653,-8.848107243,22.999070754,10.471719047,10.491549656,-10.297429029,-7.335484368,3.977731115
3.057000000,1.135556117,0.609199027,1.181746589,-2.371696649,4.303213213,2.150106606,2.150106606,1.330000000,-0.011133015,0.799106632,-23.005043187,-9.661940451,-23.016176202,-8.862833819,22.993910172,10.461047084,10.501970059,-10.313925854,-7.352015515,4.019977478
3.058000000,1.136730512,0.606831350,1.174394574,-2.367676672,4.305918233,2.151459117,2.151459117,1.330000000,-0.025502102,0.786514304,-23.014339477,-9.663959696,-23.039841579,-8.877445391,22.988837375,10.450474000,10.512323000,-10.330366738,-7.368567146,4.062178168
3.059000000,1.137897538,0.604467735,1.167026007,-2.363614493,4.308609426,2.152804713,2.152804713,1.330000000,-0.039711260,0.774028983,-23.023563645,-9.665970717,-23.063274905,-8.891941734,22.983852385,10.439999700,10.522608546,-10.346751531,-7.385138298,4.104331454
3.060000000,1.139057179,0.602108225,1.159640868,-2.359510162,4.311286776,2.154143388,2.154143388,1.330000000,-0.053760553,0.761650730,-23.032715764,-9.667973355,-23.086476317,-8.906322625,22.978955211,10.429624084,10.532826773,-10.363080094,-7.401727993,4.146435589
3.061000000,1.140209418,0.599752862,1.152239140,-2.355363726,4.313950269,2.155475135,2.155475135,1.330000000,-0.067650060,0.749379596,-23.041795906,-9.669967451,-23.109445966,-8.920587855,22.974145847,10.419347047,10.542977764,-10.379352301,-7.418335239,4.188488798
3.062000000,1.141354239,0.597401686,1.144820805,-2.351175238,4.316599891,2.156799946,2.156799946,1.330000000,-0.081379876,0.737215629,-23.050804145,-9.671952846,-23.132184021,-8.934737217,22.969424268,10.409168475,10.553061610,-10.395568036,-7.434959029,4.230489289
3.063000000,1.142491625,0.595054742,1.137385846,-2.346944748,4.319235629,2.158117814,2.158117814,1.330000000,-0.094950113,0.725158869,-23.059740552,-9.673929384,-23.154690665,-8.948770515,22.964790439,10.399088253,10.563078407,-10.411727196,-7.451598342,4.272435245
3.064000000,1.143621559,0.592712069,1.129934248,-2.342672313,4.321857471,2.159428735,2.159428735,1.330000000,-0.108360896,0.713209348,-23.068605201,-9.675896907,-23.176966097,-8.962687559,22.960244304,10.389106255,10.573028260,-10.427829689,-7.468252144,4.314324832
3.065000000,1.144744025,0.590373711,1.122465996,-2.338357988,4.324465405,2.160732703,2.160732703,1.330000000,-0.121612367,0.701367094,-23.077398164,-9.677855261,-23.199010531,-8.976488168,22.955785797,10.379222355,10.582911281,-10.443875434,-7.484919384,4.356156192
